Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Relay1 Txs in this block,# of Relay2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Relay1 Txs) (Duration: Relay1 proposed -> Relay1 Commit)","SUM of confirm latency (ms, Relay2 Txs) (Duration: Relay1 proposed -> Relay2 Commit)"
1,0,0,1362,604,0,1753194598781,1753194598832,1042222,462283,0
2,0,3001,4000,1326,1340,1753194603858,1753194603970,23509464,7791615,7879038
3,0,3036,4000,2005,0,1753194608893,1753194609003,32360471,16314532,0
4,0,4353,4000,1186,1264,1753194613890,1753194613991,35632023,8304827,17302301
5,0,6897,4000,1081,1884,1753194618891,1753194618991,52181045,11493606,29683321
6,0,10366,4000,1227,1590,1753194623914,1753194624035,57133948,13578818,30437333
7,0,11350,4000,2111,0,1753194628933,1753194629040,53072890,28062311,0
8,0,15705,4000,1300,1515,1753194633925,1753194634032,77303336,20086073,38907832
9,0,17432,4000,1658,949,1753194638926,1753194639032,79763605,27906452,28399226
10,0,20694,4000,1720,774,1753194643968,1753194644079,78067402,28936475,23719572
11,0,21101,4000,1218,1635,1753194648949,1753194649055,106126040,24678951,58206960
12,0,18511,4000,2107,0,1753194653958,1753194654083,91666651,48270361,0
14,1,18189,4000,1577,922,1753194663981,1753194664095,129677292,44785126,42354056
